type,hood,distance,heading,value,x,y,theta
tof,down,0.0,0.0,0.0,0.0,0.0,0.0
prob,down,0.24849556252885752,0.12910084099199404,0.0,0.015616314569546264,0.005075619171704626,0.0023509572207356375
flywheel,down,0.2484910851625576,0.12826210572733743,0.0,0.015616314569546264,0.005075619171704626,0.003049088255743063
tof,down,0.24847892350265627,0.12595548840377857,0.0,0.015616314569546264,0.005075619171704626,0.0049689527632027575
flywheel,down,1.5804005287218514,-0.015041491638547733,2000.0,-1.080737755309464,-1.4490829593537171,-2.068825012925387
tof,down,1.5801562116787589,-0.02135214924597939,1.11,-1.0806245395023275,-1.4488594499393912,-2.062541850255077
tof,down,1.579707336130868,-0.026580262049115788,1.01,-1.0804079592967248,-1.4484588713518107,-2.057480379445327
tof,down,1.5795995554185962,-0.030723653306618637,1.06,-1.0803534063309428,-1.448358950986453,-2.0534661301552224
tof,down,1.579651958342736,-0.034865095221816134,1.12,-1.080374447546859,-1.4483993364617618,-2.0494518808651194
prob,down,1.579658981285706,-0.03864729048974169,0.625,-1.080374447546859,-1.4483993364617618,-2.045786672125384
flywheel,down,1.799299742561847,-0.11612452205057977,2050.0,-1.188852852052488,-1.639041379633035,-1.9708535365116227
tof,down,1.799085752629436,-0.12206009231819337,1.08,-1.1887544600119853,-1.6388110598908057,-1.9652684882315625
tof,down,1.7983168144330988,-0.12535338975985066,1.04,-1.1884655298946925,-1.6380681520374054,-1.9617778164117687
tof,down,1.7986017081833077,-0.13090210262835367,1.11,-1.1885695780417258,-1.6382961972654257,-1.9565418419715916
tof,down,1.7983792941851888,-0.13827498604407218,1.09,-1.188463888255793,-1.6380442109726587,-1.9493859947015755
prob,down,1.7983916176715873,-0.1400688077703851,1.0,-1.188463888255793,-1.6380442109726587,-1.9476406587916786
flywheel,down,2.0871525326559297,-0.11980756430222694,2085.0,-1.307429401868852,-1.902420039877704,-1.9546855169472355
tof,down,2.0873412334038552,-0.12139867530759041,0.97,-1.3074840663667189,-1.9025943760047426,-1.9531147179572796
tof,down,2.0860822700637143,-0.12289479595064456,1.15,-1.3069934050643717,-1.9014173811929176,-1.9517184558872647
tof,down,2.0886235808372575,-0.12453004819001734,1.08,-1.3079370981776535,-1.9037864817555352,-1.9499731199773676
tof,down,2.0855493395684954,-0.12811012080981676,1.1,-1.3067797410422948,-1.9008897594121343,-1.9466570183670282
prob,down,2.0855584760315913,-0.12953987752676976,0.7,-1.3067797410422948,-1.9008897594121343,-1.9452607562970134
flywheel,down,2.405360692905612,-0.002836447925657737,2150.0,-1.579208493617644,-2.1124267012595723,-2.1249328922421458
tof,down,2.405178871635491,-0.003916456327673679,1.09,-1.5791343727619795,-2.112258377304003,-2.123885687367256
tof,down,2.404973555852453,-0.0019573570783659733,1.04,-1.5790281766047147,-2.112083112685456,-2.1258055518747154
tof,down,2.4051002000315775,-0.0048085360260508025,1.11,-1.5789691148779519,-2.111985788359533,-2.123013027734686
tof,down,2.4044520085959054,-0.008724725172239545,1.05,-1.5787430395558941,-2.1116436802267256,-2.1191732987197662
prob,down,2.4044524664656133,-0.009615696071243462,1.0,-1.5787430395558941,-2.1116436802267256,-2.118300639087196
flywheel,down,2.7749825308394245,-0.055737617647663384,2200.0,-1.7831585142381887,-2.4215594190526724,-2.076251249344302
tof,down,2.774980979457198,-0.058225124054619215,1.22,-1.7828154610096982,-2.4209425539498244,-2.073982319319339
tof,down,2.77476495690871,-0.06196127250032646,1.11,-1.7827048357299682,-2.420743545734403,-2.07031712722436
tof,down,2.7748473974901553,-0.06640154065661008,1.16,-1.7827358418823125,-2.420804436114667,-2.065953804094374
tof,down,2.7745618750211585,-0.0694267109075497,1.24,-1.7825883560374247,-2.420547675901056,-2.062986747195593
prob,down,2.774570088914541,-0.07173679553005208,0.7142857142857143,-1.7825883560374247,-2.420547675901056,-2.060717817170629
flywheel,up,2.752521014997441,-0.0699715877343845,2200.0,-1.7736976855638686,-2.4001012646261115,-2.063651801193509
tof,up,2.7520216401006925,-0.07033496349333213,0.83,-1.7734490079327268,-2.399666216506516,-2.0633027353509124
flywheel,up,2.7515396194220982,-0.08153330060633479,2365.0,-1.7731730159252201,-2.3992198383031313,-2.052307160821479
tof,up,2.7507960791190103,-0.08848071478821407,0.88,-1.7727981314286538,-2.3985422115215362,-2.045500376988373
tof,up,2.750464936484069,-0.09594587876146132,0.89,-1.7726049983045773,-2.398231715344904,-2.038169994879011
tof,up,2.75029383810981,-0.10287819179809432,0.92,-1.7724981952432428,-2.39805599150215,-2.031188676206557
prob,up,2.7499446285218934,-0.10555496818244592,0.3333333333333333,-1.7723298581513427,-2.3977328336059447,-2.028745215503437
flywheel,up,3.046914473192809,-0.035559560041694915,2450.0,-1.6032332448420492,-2.828693980012205,-1.9768225116943763
tof,up,3.046500181638997,-0.03272829270974498,0.82,-1.6030789124162328,-2.8283141990182465,-1.979615035834406
tof,up,3.0465399661408608,-0.030245095981666026,1.01,-1.6029182881867756,-2.827937129237957,-1.9820585027793107
tof,up,3.0454252309729104,-0.02936897993003207,0.83,-1.6026541382541402,-2.8273319669402475,-1.9829311624118808
tof,up,3.0437228253207054,-0.03010170143068791,0.98,-1.602261628231959,-2.8263853268876926,-1.9813603717443036
#prob,down,3.044311712814159,-0.03009600547671809,0.7,-1.6022255632532116,-2.8263016948096458,-1.9822330313768737
flywheel,down,3.0426787947326903,-0.03296212075344762,2500.0,-1.601600923549043,-2.824785695814885,-1.9794405072368435
tof,down,3.0413536588041934,-0.029607283726448053,1.49,-1.601081645144774,-2.8235714482999135,-1.982756633814318
prob,down,3.0407479544813034,-0.01826029364103743,0.08333333333333333,-1.6008519562578547,-2.823025742986401,-1.9939267386968165
#flywheel,up,3.2919993041988618,-0.014282866618172463,2525.0,-1.7097330240169546,-3.049469659601786,-1.9983555868659397
#tof,up,3.29062800838421,-0.004363394921146124,0.96,-1.709161449361777,-3.0482288126470563,-2.008129429678423
#tof,up,3.2902629360853837,0.0011357849000956932,1.13,-1.7089888081305167,-3.0479074756960496,-2.0135399535221086
#flywheel,up,3.290081345932231,0.0060953989225822625,2500.0,-1.708917644597331,-3.0477396078344685,-2.0184268749283505
#tof,up,3.289990884695223,0.008221192785224929,1.05,-1.7088808644471225,-3.047656242183312,-2.020521270113967
#tof,up,3.2893577972784636,0.016024281784729144,1.08,-1.708591138330434,-3.047088269550814,-2.0282007177408334
flywheel,up,3.2893080714847454,0.03232726806621189,2450.0,-1.7085627927117324,-3.047026105979098,-2.044257747150464
tof,up,3.2886988029256297,0.035522955946010626,1.03,-1.7082828330223199,-3.0464787927360146,-2.047399339928889
tof,up,3.289098798457859,0.04225685713187577,0.94,-1.7084482752137484,-3.0468290845253905,-2.054031591003244
tof,up,3.2889566377145876,0.04970512786426484,0.88,-1.708364043847453,-3.0466933422843843,-2.061361974152904
tof,up,3.2888528311463023,0.05378069384252537,1.0,-1.7083159694773573,-3.046589935743342,-2.065201697966336
prob,up,3.288862394236289,0.05732482613360679,0.875,-1.7083159694773573,-3.046589935743342,-2.0688668900613147
flywheel,up,3.5957887270984923,0.0003947128181436277,2475.0,-1.847472654465771,-3.320374613749087,-2.0152082574054466
tof,up,3.5960621016592964,0.0035820358125802088,1.0,-1.847584675521846,-3.3206239213610447,-2.0183498501838715
tof,up,3.596016762925659,0.004997241851133261,1.15,-1.8475672131444707,-3.3205817823635737,-2.0197461132941847
tof,up,3.596040174610324,0.007476176281588476,0.99,-1.8475731426065845,-3.3206042032421577,-2.0221895750376024
tof,up,3.5957228230509735,0.011016162025990983,1.18,-1.8474351087983512,-3.3203168733095025,-2.0256802322932344
prob,up,3.595723562430572,0.01243201780466352,0.875,-1.8474351087983512,-3.3203168733095025,-2.0270764964438435
flywheel,up,3.907766461380395,-0.0321252859252219,2500.0,-1.987939780236266,-3.5989945779529395,-1.984911510764383
tof,up,3.907788056477944,-0.03141795861911856,1.09,-1.9879489420555183,-3.599015422413885,-1.9856096417993907
tof,up,3.9074440874743654,-0.03017800647509894,1.15,-1.987792701601683,-3.5987110517761804,-1.9868313731912481
tof,up,3.9071627317276403,-0.024695675005453666,1.12,-1.987667719978702,-3.598467621551827,-1.9922418949543397
tof,up,3.9070445302130152,-0.021333813542531388,1.27,-1.9876081513592814,-3.5983695827380298,-1.9955580173706249
prob,up,3.9070431776185215,-0.02009630625541714,1.0,-1.9876081513592814,-3.5983695827380298,-1.9967797508430774
#flywheel,up,4.27952278669616,-0.0660720110125208,2575.0,-2.5483188087640567,-3.727535185692429,-2.055398390018689
#tof,up,4.287703632584183,-0.07547418137005835,1.23,-2.547728205770232,-3.7264823164184486,-2.04597361272371
flywheel,up,4.286861895563985,-0.08608605409015802,2600.0,-2.5473274339833156,-3.725689853647445,-2.035501636795625
tof,up,4.286474516337467,-0.0956296277642128,1.2,-2.5471322234088003,-3.725303819058417,-2.026076859500646
tof,up,4.2871144461910236,-0.10568033223882622,1.24,-2.547388789709904,-3.7258373303975905,-2.0161284818488165
tof,up,4.273862197458199,-0.11052277079797257,1.07,-2.5491139118723263,-3.7249500021080153,-2.012131404448353
tof,up,4.286790668933091,-0.11089562304162293,1.23,-2.5489043197617347,-3.724495016467962,-2.01143327276316
prob,up,4.286796608706716,-0.11195506807093558,1.0,-2.5489043197617347,-3.724495016467962,-2.0103860752353695
flywheel,up,4.554523698311663,-0.09112973564971227,2700.0,-2.673913557058192,-3.9619815716580407,-2.0270816135027485
tof,up,4.554318197474993,-0.09113037832777326,1.31,-2.673809096878961,-3.961804576651585,-2.0270816135027485
tof,up,4.5537705625270855,-0.09537506833151888,1.25,-2.673551383716741,-3.961296959889929,-2.022892824171812
tof,up,4.5534495659517145,-0.09926412565228304,1.25,-2.6734015551425667,-3.9609900315960846,-2.019053099318082
tof,up,4.553565521826364,-0.09979104855990073,1.16,-2.673451018736857,-3.9610925700823283,-2.0185295010418263
prob,up,4.553236372205309,-0.09750284005884602,0.875,-2.673307917104007,-3.9608076850865337,-2.020798428986195
flywheel,up,4.872442445428401,-0.09092034848468966,2875.0,-2.875182377112388,-4.2114606860170385,-2.0358226205797307
tof,up,4.870878458854245,-0.10029780938477639,1.14,-2.874464917171517,-4.210012036004604,-2.026572376043503
tof,up,4.870801222246716,-0.107351599802886,1.23,-2.8744069322259174,-4.209913646005624,-2.01959105737105
tof,up,4.870355312523941,-0.11282679369319304,1.28,-2.874192617227305,-4.209486119037221,-2.014180537688553
tof,up,4.8700723143000015,-0.11477323974559361,1.31,-2.8740655661340515,-4.20921878407256,-2.012260677342282
prob,up,4.870553470582581,-0.11581998790642967,0.875,-2.874269930831612,-4.209651060558076,-2.0112134766285825
flywheel,up,5.740897734251017,-0.14574520884336906,3325.0,-3.208133606574245,-5.024329100831165,-1.956225582695161
tof,up,5.74067677360279,-0.14610515206720898,1.55,-3.208059191175074,-5.024113552583561,-1.9558765171776564
tof,up,5.740323279144653,-0.14963985359702825,1.69,-3.20793470178394,-5.023746357120805,-1.9523858620026198
tof,up,5.740319861301519,-0.15210561847749826,1.63,-3.2079288363160243,-5.023724173416887,-1.9499424033800936
tof,up,5.740300596201975,-0.1582694029503049,1.56,-3.207905121875203,-5.023660073406881,-1.9438337526625893
prob,up,5.740313245893564,-0.15985383192524694,0.6,-3.2079051218752035,-5.023660073406881,-1.942262953672633
flywheel,up,7.1678450738210895,-0.07128329090994256,4275.0,-3.81938173017467,-6.31919248867016,-2.012313859023835
tof,up,7.164679890845141,-0.07605387703263577,1.86,-3.8179768263527905,-6.316330678641073,-2.0076014703763447
tof,up,7.1681422250536375,-0.07390181041079735,1.89,-3.819411221858504,-6.319505717725032,-2.0096958634813675
tof,up,7.163916657712604,-0.08026492399504992,1.82,-3.8175494851802734,-6.315676162054244,-2.0034126841663
tof,up,7.161490862274289,-0.11580872656396224,1.86,-3.816528389358358,-6.313264829116314,-1.9681570252865317
prob,up,7.162639284685219,-0.11877804765613398,0.375,-3.8169681011050156,-6.314314938823003,-1.96518996422656
